12/29/2020,-2603.93,*,,BILL PAY Aoufe,Rent
12/28/2020,-86.32,*,,SRP SUREPAY,Utilities
12/28/2020,-57.31,*,,SRP SUREPAY,Utilities
12/28/2020,-150.0,*,,BILL PAY Cleaner,Janitor and cleaning
12/23/2020,-280.85,*,,RECURRING PAYMENT AUTHORIZED ON 12/22 COX,Utilities
12/15/2020,-98.0,*,,RECURRING PAYMENT AUTHORIZED ON 12/13 MERRIWEATHER COUNC,Advertising
12/14/2020,-108.59,*,,PURCHASE AUTHORIZED ON 12/12 AMAZON.COM,Repairs and maintenance
12/14/2020,-216.85,*,,RECURRING PAYMENT AUTHORIZED ON 12/12 WIX.COM,Advertising
12/10/2020,-32.42,*,,PURCHASE AUTHORIZED ON 12/07 AMZN Mktp US,uncategorized
12/09/2020,-62.5,*,,LIBERTY MUTUAL,Insurance
12/08/2020,-18.16,*,,PURCHASE AUTHORIZED ON 12/07 AMZN Mktp US,uncategorized
12/08/2020,-88.64,*,,PURCHASE AUTHORIZED ON 12/07 AMZN Mktp US,uncategorized
12/08/2020,-41.0,*,,PURCHASE AUTHORIZED ON 12/07 AMZN Mktp US,uncategorized
12/07/2020,-234.58,*,,RECURRING PAYMENT AUTHORIZED ON 12/04 SQUARESPACE INC.,uncategorized
12/04/2020,-109.12,*,,PURCHASE AUTHORIZED ON 12/04 THE HOME DEPOT,uncategorized
12/04/2020,-150.0,*,,BILL PAY Cleaner,Janitor and cleaning
12/04/2020,-1.69,*,,PURCHASE AUTHORIZED ON 12/03 ACE HDWE,uncategorized
12/04/2020,-194.22,*,,RECURRING PAYMENT AUTHORIZED ON 12/03 MASTERCLASS,uncategorized
12/02/2020,-57.66,*,,PURCHASE AUTHORIZED ON 12/01 AMAZON.COM,Repairs and maintenance
12/01/2020,-10.85,*,,RECURRING PAYMENT AUTHORIZED ON 11/30 Spotify USA,Utilities
12/01/2020,-2.88,*,,PURCHASE AUTHORIZED ON 11/30 FACEBK,uncategorized
